experiment,variant,schedule,chunk,requested_threads,actual_threads,run,warmup,seconds,max_steps,checksum,hits_gt_100,n,student_id,utc_start
sequential,sequential,none,0,1,1,1,1,2.039000034,688,96515714,10684763,13254000,3254,2026-09-24T07:15:07Z
sequential,sequential,none,0,1,1,2,0,1.989000082,688,96515714,10684763,13254000,3254,2026-09-24T07:15:09Z
sequential,sequential,none,0,1,1,3,0,1.983999968,688,96515714,10684763,13254000,3254,2026-09-24T07:15:11Z
scaling,reduction,static,0,1,1,1,1,2.802999973,688,96515714,10684763,13254000,3254,2026-09-24T07:15:13Z
scaling,reduction,static,0,1,1,2,0,2.814000130,688,96515714,10684763,13254000,3254,2026-09-24T07:15:16Z
scaling,reduction,static,0,1,1,3,0,2.799999952,688,96515714,10684763,13254000,3254,2026-09-24T07:15:18Z
scaling,reduction,static,0,2,2,1,1,1.481999874,688,96515714,10684763,13254000,3254,2026-09-24T07:15:21Z
scaling,reduction,static,0,2,2,2,0,1.490999937,688,96515714,10684763,13254000,3254,2026-09-24T07:15:23Z
scaling,reduction,static,0,2,2,3,0,1.486999989,688,96515714,10684763,13254000,3254,2026-09-24T07:15:24Z
scaling,reduction,static,0,4,4,1,1,0.790999889,688,96515714,10684763,13254000,3254,2026-09-24T07:15:26Z
scaling,reduction,static,0,4,4,2,0,0.796000004,688,96515714,10684763,13254000,3254,2026-09-24T07:15:26Z
scaling,reduction,static,0,4,4,3,0,0.773000002,688,96515714,10684763,13254000,3254,2026-09-24T07:15:27Z
scaling,reduction,static,0,8,8,1,1,0.443000078,688,96515714,10684763,13254000,3254,2026-09-24T07:15:28Z
scaling,reduction,static,0,8,8,2,0,0.414000034,688,96515714,10684763,13254000,3254,2026-09-24T07:15:28Z
scaling,reduction,static,0,8,8,3,0,0.445999861,688,96515714,10684763,13254000,3254,2026-09-24T07:15:29Z
scaling,reduction,static,0,14,14,1,1,0.296000004,688,96515714,10684763,13254000,3254,2026-09-24T07:15:29Z
scaling,reduction,static,0,14,14,2,0,0.279999971,688,96515714,10684763,13254000,3254,2026-09-24T07:15:30Z
scaling,reduction,static,0,14,14,3,0,0.288000107,688,96515714,10684763,13254000,3254,2026-09-24T07:15:30Z
scaling,reduction,static,0,16,16,1,1,0.266999960,688,96515714,10684763,13254000,3254,2026-09-24T07:15:30Z
scaling,reduction,static,0,16,16,2,0,0.266999960,688,96515714,10684763,13254000,3254,2026-09-24T07:15:30Z
scaling,reduction,static,0,16,16,3,0,0.259999990,688,96515714,10684763,13254000,3254,2026-09-24T07:15:31Z
scaling,reduction,static,0,20,20,1,1,0.226000071,688,96515714,10684763,13254000,3254,2026-09-24T07:15:31Z
scaling,reduction,static,0,20,20,2,0,0.240999937,688,96515714,10684763,13254000,3254,2026-09-24T07:15:31Z
scaling,reduction,static,0,20,20,3,0,0.259000063,688,96515714,10684763,13254000,3254,2026-09-24T07:15:31Z
false_sharing,naive,static,0,14,14,1,1,0.334000111,688,96515714,10684763,13254000,3254,2026-09-24T07:15:32Z
false_sharing,naive,static,0,14,14,2,0,0.325999975,688,96515714,10684763,13254000,3254,2026-09-24T07:15:32Z
false_sharing,naive,static,0,14,14,3,0,0.335000038,688,96515714,10684763,13254000,3254,2026-09-24T07:15:32Z
false_sharing,reduction,static,0,14,14,1,1,0.277999878,688,96515714,10684763,13254000,3254,2026-09-24T07:15:33Z
false_sharing,reduction,static,0,14,14,2,0,0.286999941,688,96515714,10684763,13254000,3254,2026-09-24T07:15:33Z
false_sharing,reduction,static,0,14,14,3,0,0.279000044,688,96515714,10684763,13254000,3254,2026-09-24T07:15:33Z
scheduling,static,static,0,20,20,1,1,0.235000134,688,96515714,10684763,13254000,3254,2026-09-24T07:15:33Z
scheduling,static,static,0,20,20,2,0,0.232999802,688,96515714,10684763,13254000,3254,2026-09-24T07:15:34Z
scheduling,static,static,0,20,20,3,0,0.220999956,688,96515714,10684763,13254000,3254,2026-09-24T07:15:34Z
scheduling,static_1000,static,1000,20,20,1,1,0.240999937,688,96515714,10684763,13254000,3254,2026-09-24T07:15:34Z
scheduling,static_1000,static,1000,20,20,2,0,0.229000092,688,96515714,10684763,13254000,3254,2026-09-24T07:15:34Z
scheduling,static_1000,static,1000,20,20,3,0,0.250999928,688,96515714,10684763,13254000,3254,2026-09-24T07:15:35Z
scheduling,dynamic_100,dynamic,100,20,20,1,1,0.202000141,688,96515714,10684763,13254000,3254,2026-09-24T07:15:35Z
scheduling,dynamic_100,dynamic,100,20,20,2,0,0.196999788,688,96515714,10684763,13254000,3254,2026-09-24T07:15:35Z
scheduling,dynamic_100,dynamic,100,20,20,3,0,0.200000048,688,96515714,10684763,13254000,3254,2026-09-24T07:15:35Z
scheduling,dynamic_10000,dynamic,10000,20,20,1,1,0.199000120,688,96515714,10684763,13254000,3254,2026-09-24T07:15:36Z
scheduling,dynamic_10000,dynamic,10000,20,20,2,0,0.200000048,688,96515714,10684763,13254000,3254,2026-09-24T07:15:36Z
scheduling,dynamic_10000,dynamic,10000,20,20,3,0,0.198999882,688,96515714,10684763,13254000,3254,2026-09-24T07:15:36Z
scheduling,guided,guided,0,20,20,1,1,0.216000080,688,96515714,10684763,13254000,3254,2026-09-24T07:15:36Z
scheduling,guided,guided,0,20,20,2,0,0.195999861,688,96515714,10684763,13254000,3254,2026-09-24T07:15:36Z
scheduling,guided,guided,0,20,20,3,0,0.210999966,688,96515714,10684763,13254000,3254,2026-09-24T07:15:37Z
