variant,threads,thread_id,iterations,total_collatz_steps,active_seconds
static,20,0,662700,84270500,0.173000097
static,20,1,662700,93775645,0.200999975
static,20,2,662700,97341818,0.210000038
static,20,3,662700,99700482,0.141999960
static,20,4,662700,101396418,0.207000017
static,20,5,662700,102828298,0.141000032
static,20,6,662700,103865613,0.146999836
static,20,7,662700,105046384,0.158999920
static,20,8,662700,105778185,0.223000050
static,20,9,662700,106563137,0.217999935
static,20,10,662700,107214245,0.228999853
static,20,11,662700,107969359,0.222000122
static,20,12,662700,108221085,0.220999956
static,20,13,662700,109108102,0.221999884
static,20,14,662700,109562154,0.201999903
static,20,15,662700,110009366,0.212999821
static,20,16,662700,110530501,0.149999857
static,20,17,662700,110645759,0.149999857
static,20,18,662700,111155929,0.151999950
static,20,19,662700,111532748,0.176000118
static_1000,20,0,663000,104638588,0.226000071
static_1000,20,1,663000,104191588,0.149000168
static_1000,20,2,663000,104322555,0.144999981
static_1000,20,3,663000,104350547,0.241000175
static_1000,20,4,663000,104770555,0.147000074
static_1000,20,5,663000,104947090,0.229000092
static_1000,20,6,663000,104938426,0.240000010
static_1000,20,7,663000,104743013,0.147000074
static_1000,20,8,663000,104903241,0.151000023
static_1000,20,9,663000,105144644,0.146000147
static_1000,20,10,663000,104879621,0.235000134
static_1000,20,11,663000,104647812,0.233000040
static_1000,20,12,663000,105075682,0.243000031
static_1000,20,13,663000,105114627,0.215999842
static_1000,20,14,662000,104624513,0.230000019
static_1000,20,15,662000,104560220,0.226000071
static_1000,20,16,662000,104651376,0.221000195
static_1000,20,17,662000,105276625,0.250000000
static_1000,20,18,662000,105571389,0.240000010
static_1000,20,19,662000,105163616,0.146000147
dynamic_100,20,0,519900,82115529,0.199999809
dynamic_100,20,1,538100,85462153,0.199999809
dynamic_100,20,2,689100,108070640,0.200999975
dynamic_100,20,3,666400,105230523,0.199999809
dynamic_100,20,4,757400,119571659,0.200999975
dynamic_100,20,5,819400,130165562,0.199999809
dynamic_100,20,6,718600,113710550,0.199999809
dynamic_100,20,7,788100,125106164,0.199999809
dynamic_100,20,8,731000,116997424,0.200999975
dynamic_100,20,9,754100,119349336,0.200999975
dynamic_100,20,10,548900,86249549,0.199999809
dynamic_100,20,11,557800,88134249,0.199999809
dynamic_100,20,12,560300,88243860,0.200999975
dynamic_100,20,13,551100,87593781,0.199999809
dynamic_100,20,14,510000,80522056,0.199999809
dynamic_100,20,15,628700,99248396,0.199999809
dynamic_100,20,16,688400,108604560,0.199999809
dynamic_100,20,17,732700,116176007,0.199999809
dynamic_100,20,18,686800,108372745,0.199999809
dynamic_100,20,19,807200,127590985,0.200999975
dynamic_10000,20,0,480000,75353611,0.217000008
dynamic_10000,20,1,590000,94035246,0.214999914
dynamic_10000,20,2,930000,147361903,0.217000008
dynamic_10000,20,3,430000,68735781,0.215999842
dynamic_10000,20,4,940000,149144366,0.214999914
dynamic_10000,20,5,470000,74029317,0.215999842
dynamic_10000,20,6,410000,63829724,0.214999914
dynamic_10000,20,7,614000,96673493,0.215999842
dynamic_10000,20,8,460000,72531535,0.217999935
dynamic_10000,20,9,480000,75382045,0.217000008
dynamic_10000,20,10,950000,149637764,0.214999914
dynamic_10000,20,11,960000,151809181,0.215999842
dynamic_10000,20,12,600000,95106221,0.214999914
dynamic_10000,20,13,460000,73613503,0.217000008
dynamic_10000,20,14,550000,87574319,0.214999914
dynamic_10000,20,15,950000,150440736,0.214999914
dynamic_10000,20,16,920000,145398118,0.214999914
dynamic_10000,20,17,580000,91221206,0.217000008
dynamic_10000,20,18,920000,146161580,0.217000008
dynamic_10000,20,19,560000,88476079,0.214999914
guided,20,0,435245,71504739,0.194999933
guided,20,1,914162,143146988,0.197000027
guided,20,2,451712,73954632,0.197000027
guided,20,3,549379,90314966,0.197000027
guided,20,4,663547,84413885,0.197000027
guided,20,5,562929,91304707,0.197000027
guided,20,6,899543,146081276,0.197000027
guided,20,7,887081,145562234,0.197000027
guided,20,8,899969,148732904,0.197000027
guided,20,9,904749,148851045,0.197000027
guided,20,10,512785,78993830,0.223000050
guided,20,11,462788,72561869,0.203000069
guided,20,12,898186,144761870,0.197000027
guided,20,13,447757,72873155,0.197000027
guided,20,14,629565,88898473,0.203999996
guided,20,15,574087,87813272,0.197000027
guided,20,16,598087,87670247,0.220999956
guided,20,17,490104,79318504,0.197000027
guided,20,18,553737,90671962,0.197000027
guided,20,19,918588,149085170,0.197000027
