threads,time,logical_cpu,utilization_percent
64,1367.6371245,0,85.7
64,1367.6371283,1,100.0
64,1367.637129,2,100.0
64,1367.6371294,3,100.0
64,1367.6371299,4,85.7
64,1367.6371306,5,100.0
64,1367.6371309,6,85.7
64,1367.6371311,7,85.7
64,1367.6371314,8,85.7
64,1367.6371318,9,85.7
64,1367.6371322,10,85.7
64,1367.6371326,11,85.7
64,1367.6371329,12,100.0
64,1367.6371332,13,100.0
64,1367.6371335,14,100.0
64,1367.6371338,15,85.7
64,1367.6371342,16,100.0
64,1367.6371346,17,85.7
64,1367.6371349,18,100.0
64,1367.6371352,19,85.7
