variant,threads,trial,iterations_per_thread,seconds,checksum
creation_join,1,1,0,0.0006141999999726977,0
creation_join,1,2,0,0.0005565000001297449,0
creation_join,1,3,0,0.0005254000000149972,0
cpu_work,1,1,10000000,0.016121600000133185,21081852648.716972
creation_join,2,1,0,0.0004321999999774562,0
creation_join,2,2,0,0.00041030000011232914,0
creation_join,2,3,0,0.0004217999999127642,0
cpu_work,2,1,10000000,0.013204200000018318,42163705297.433945
creation_join,4,1,0,0.0007261000000653439,0
creation_join,4,2,0,0.0009469999999964784,0
creation_join,4,3,0,0.001000399999838919,0
cpu_work,4,1,10000000,0.01468420000014703,84327410594.86789
creation_join,8,1,0,0.001808900000014546,0
creation_join,8,2,0,0.0012567999999646418,0
creation_join,8,3,0,0.0011042999999517633,0
cpu_work,8,1,10000000,0.024252700000033656,168654821189.73578
creation_join,16,1,0,0.003554800000074465,0
creation_join,16,2,0,0.0023272999999335298,0
creation_join,16,3,0,0.0019300000001294393,0
cpu_work,16,1,10000000,0.03669090000016695,337309642379.47156
creation_join,32,1,0,0.007244199999831835,0
creation_join,32,2,0,0.006132900000011432,0
creation_join,32,3,0,0.005836799999997311,0
cpu_work,32,1,10000000,0.06816649999996116,674619284758.9431
creation_join,64,1,0,0.014712799999870185,0
creation_join,64,2,0,0.013983600000074148,0
creation_join,64,3,0,0.014092500000060681,0
cpu_work,64,1,10000000,0.12306909999983873,1349238569517.8862
