variant,threads,n,trials,mean_seconds,sample_stddev_seconds
serial_native,1,100000000,5,0.17656323999995038,0.0036747414593860336
race,1,100000000,5,0.1951853000000483,0.0026724529415409265
race,2,100000000,5,0.11316614000002119,0.00165501142377238
race,4,100000000,5,0.05514373999999407,0.00038398448267043213
race,8,100000000,5,0.047077479999870775,0.0006013439547900101
serial_python,1,1000000,5,0.05850111999998262,0.0007769526768353347
serial_native_lock_n,1,1000000,5,0.0017126600000210602,2.4304279465570575e-05
critical_python,1,1000000,5,0.17116347999995013,0.004600733441706393
critical_python,2,1000000,5,0.17435832000005574,0.0034535921649926646
critical_python,4,1000000,5,0.1691166400000384,0.0012566705447485634
critical_python,8,1000000,5,0.17255447999996248,0.0035502419674584397
reduction,1,100000000,5,0.166789960000051,0.0012708643369861263
reduction,2,100000000,5,0.08452902000003633,0.0004244008799818528
reduction,4,100000000,5,0.043905360000053406,0.00031607520938796354
reduction,8,100000000,5,0.04436185999998088,0.00912311962531444
reduction,16,100000000,5,0.029926119999890942,0.004912212675266121
