policy,threads,chunk,trials,mean_seconds,sample_stddev_seconds
static,2,1,3,0.2275139333332845,0.004792602679460899
static,2,16,3,0.2247652000000168,0.007202492404824877
static,2,64,3,0.22849273333334472,0.0013036511048629877
static,2,256,3,0.26638420000002344,0.00216711378783037
static,4,1,3,0.11547346666664755,0.0013084450326282784
static,4,16,3,0.11805420000003626,0.0018805917339730826
static,4,64,3,0.12248606666670032,0.0006114463617554602
static,4,256,3,0.2666013999999753,0.001272365753100236
static,8,1,3,0.07590319999993274,0.002194194300799503
static,8,16,3,0.07419036666669854,0.003478139445588349
static,8,64,3,0.11551369999998921,0.0002512017316831032
static,8,256,3,0.2671933333333527,0.0013526329373705602
static,16,1,3,0.05674633333334592,0.010759488968545212
static,16,16,3,0.044092899999971756,0.0007659069198570522
static,16,64,3,0.11936639999998988,0.0035906966161734087
static,16,256,3,0.26789529999996375,0.0019927295074838535
dynamic,2,1,3,0.218554499999982,0.000576823638568076
dynamic,2,16,3,0.21878850000007333,0.0009596297567729092
dynamic,2,64,3,0.2285095333333326,0.0004214205065052374
dynamic,2,256,3,0.2641071999999743,0.0008062672758147504
dynamic,4,1,3,0.11873686666664678,0.006291397186808292
dynamic,4,16,3,0.11530719999996109,0.0019043518292917961
dynamic,4,64,3,0.12255439999997482,0.00032798074631012596
dynamic,4,256,3,0.265086166666606,0.0019589569937334757
dynamic,8,1,3,0.06664003333344226,5.454624951259325e-05
dynamic,8,16,3,0.06978303333335134,0.002395711264629735
dynamic,8,64,3,0.12082846666658043,0.0022032258925727016
dynamic,8,256,3,0.28002756666667966,0.007870575890130207
dynamic,16,1,3,0.044659266666637144,0.0026196255482148216
dynamic,16,16,3,0.04172513333325393,0.0012210072657529026
dynamic,16,64,3,0.12265880000002956,0.004627151621768177
dynamic,16,256,3,0.2756027333333198,0.003923797121881686
guided,2,1,3,0.2282545000000482,0.004763621455344136
guided,2,16,3,0.22618583333337483,0.0029899936159173864
guided,2,64,3,0.22224496666672167,0.0010088701220683843
guided,2,256,3,0.22807526666664066,0.006112457722059542
guided,4,1,3,0.2481419333333482,0.004255135180326991
guided,4,16,3,0.2408371666667032,0.0014951710347753295
guided,4,64,3,0.239878866666686,0.0002917901015449549
guided,4,256,3,0.24370133333339558,0.0008927646630453978
guided,8,1,3,0.12543056666671268,0.0002891819900602625
guided,8,16,3,0.12887366666670155,0.008347941123600449
guided,8,64,3,0.12391879999988002,0.0026726546203960735
guided,8,256,3,0.27207029999992,0.004355726514599564
guided,16,1,3,0.07645480000004075,0.0015345760098944676
guided,16,16,3,0.07466806666654217,0.0017904497265038778
guided,16,64,3,0.12174733333328429,0.0017250871118353894
guided,16,256,3,0.2715645333333517,0.004172603892376906
