policy,threads,chunk,trial,rank,rows,escape_iterations
static,2,1,1,0,540,101621453
static,2,1,1,1,540,101495426
static,2,1,2,0,540,101621453
static,2,1,2,1,540,101495426
static,2,1,3,0,540,101621453
static,2,1,3,1,540,101495426
static,2,16,1,0,544,100846977
static,2,16,1,1,536,102269902
static,2,16,2,0,544,100846977
static,2,16,2,1,536,102269902
static,2,16,3,0,544,100846977
static,2,16,3,1,536,102269902
static,2,64,1,0,568,106878593
static,2,64,1,1,512,96238286
static,2,64,2,0,568,106878593
static,2,64,2,1,512,96238286
static,2,64,3,0,568,106878593
static,2,64,3,1,512,96238286
static,2,256,1,0,568,123572194
static,2,256,1,1,512,79544685
static,2,256,2,0,568,123572194
static,2,256,2,1,512,79544685
static,2,256,3,0,568,123572194
static,2,256,3,1,512,79544685
static,4,1,1,0,270,50907249
static,4,1,1,1,270,50747713
static,4,1,1,2,270,50714204
static,4,1,1,3,270,50747713
static,4,1,2,0,270,50907249
static,4,1,2,1,270,50747713
static,4,1,2,2,270,50714204
static,4,1,2,3,270,50747713
static,4,1,3,0,270,50907249
static,4,1,3,1,270,50747713
static,4,1,3,2,270,50714204
static,4,1,3,3,270,50747713
static,4,16,1,0,272,51027542
static,4,16,1,1,272,50414919
static,4,16,1,2,272,49819435
static,4,16,1,3,264,51854983
static,4,16,2,0,272,51027542
static,4,16,2,1,272,50414919
static,4,16,2,2,272,49819435
static,4,16,2,3,264,51854983
static,4,16,3,0,272,51027542
static,4,16,3,1,272,50414919
static,4,16,3,2,272,49819435
static,4,16,3,3,264,51854983
static,4,64,1,0,312,52121675
static,4,64,1,1,256,48107316
static,4,64,1,2,256,54756918
static,4,64,1,3,256,48130970
static,4,64,2,0,312,52121675
static,4,64,2,1,256,48107316
static,4,64,2,2,256,54756918
static,4,64,2,3,256,48130970
static,4,64,3,0,312,52121675
static,4,64,3,1,256,48107316
static,4,64,3,2,256,54756918
static,4,64,3,3,256,48130970
static,4,256,1,0,312,986810
static,4,256,1,1,256,78230988
static,4,256,1,2,256,122585384
static,4,256,1,3,256,1313697
static,4,256,2,0,312,986810
static,4,256,2,1,256,78230988
static,4,256,2,2,256,122585384
static,4,256,2,3,256,1313697
static,4,256,3,0,312,986810
static,4,256,3,1,256,78230988
static,4,256,3,2,256,122585384
static,4,256,3,3,256,1313697
static,8,1,1,0,135,25287025
static,8,1,1,1,135,25362878
static,8,1,1,2,135,25357102
static,8,1,1,3,135,25384835
static,8,1,1,4,135,25620224
static,8,1,1,5,135,25384835
static,8,1,1,6,135,25357102
static,8,1,1,7,135,25362878
static,8,1,2,0,135,25287025
static,8,1,2,1,135,25362878
static,8,1,2,2,135,25357102
static,8,1,2,3,135,25384835
static,8,1,2,4,135,25620224
static,8,1,2,5,135,25384835
static,8,1,2,6,135,25357102
static,8,1,2,7,135,25362878
static,8,1,3,0,135,25287025
static,8,1,3,1,135,25362878
static,8,1,3,2,135,25357102
static,8,1,3,3,135,25384835
static,8,1,3,4,135,25620224
static,8,1,3,5,135,25384835
static,8,1,3,6,135,25357102
static,8,1,3,7,135,25362878
static,8,16,1,0,144,26741026
static,8,16,1,1,144,26987912
static,8,16,1,2,144,26924252
static,8,16,1,3,136,26225403
static,8,16,1,4,128,24286516
static,8,16,1,5,128,23427007
static,8,16,1,6,128,22895183
static,8,16,1,7,128,25629580
static,8,16,2,0,144,26741026
static,8,16,2,1,144,26987912
static,8,16,2,2,144,26924252
static,8,16,2,3,136,26225403
static,8,16,2,4,128,24286516
static,8,16,2,5,128,23427007
static,8,16,2,6,128,22895183
static,8,16,2,7,128,25629580
static,8,16,3,0,144,26741026
static,8,16,3,1,144,26987912
static,8,16,3,2,144,26924252
static,8,16,3,3,136,26225403
static,8,16,3,4,128,24286516
static,8,16,3,5,128,23427007
static,8,16,3,6,128,22895183
static,8,16,3,7,128,25629580
static,8,64,1,0,184,50525436
static,8,64,1,1,128,39445557
static,8,64,1,2,128,26636502
static,8,64,1,3,128,6964699
static,8,64,1,4,128,1596239
static,8,64,1,5,128,8661759
static,8,64,1,6,128,28120416
static,8,64,1,7,128,41166271
static,8,64,2,0,184,50525436
static,8,64,2,1,128,39445557
static,8,64,2,2,128,26636502
static,8,64,2,3,128,6964699
static,8,64,2,4,128,1596239
static,8,64,2,5,128,8661759
static,8,64,2,6,128,28120416
static,8,64,2,7,128,41166271
static,8,64,3,0,184,50525436
static,8,64,3,1,128,39445557
static,8,64,3,2,128,26636502
static,8,64,3,3,128,6964699
static,8,64,3,4,128,1596239
static,8,64,3,5,128,8661759
static,8,64,3,6,128,28120416
static,8,64,3,7,128,41166271
static,8,256,1,0,256,846756
static,8,256,1,1,256,78230988
static,8,256,1,2,256,122585384
static,8,256,1,3,256,1313697
static,8,256,1,4,56,140054
static,8,256,1,5,0,0
static,8,256,1,6,0,0
static,8,256,1,7,0,0
static,8,256,2,0,256,846756
static,8,256,2,1,256,78230988
static,8,256,2,2,256,122585384
static,8,256,2,3,256,1313697
static,8,256,2,4,56,140054
static,8,256,2,5,0,0
static,8,256,2,6,0,0
static,8,256,2,7,0,0
static,8,256,3,0,256,846756
static,8,256,3,1,256,78230988
static,8,256,3,2,256,122585384
static,8,256,3,3,256,1313697
static,8,256,3,4,56,140054
static,8,256,3,5,0,0
static,8,256,3,6,0,0
static,8,256,3,7,0,0
static,16,1,1,0,68,12644473
static,16,1,1,1,68,12726505
static,16,1,1,2,68,12754194
static,16,1,1,3,68,12803139
static,16,1,1,4,68,12807980
static,16,1,1,5,68,12803139
static,16,1,1,6,68,12754194
static,16,1,1,7,68,12726505
static,16,1,1,8,67,12642552
static,16,1,1,9,67,12636373
static,16,1,1,10,67,12602908
static,16,1,1,11,67,12581696
static,16,1,1,12,67,12812244
static,16,1,1,13,67,12581696
static,16,1,1,14,67,12602908
static,16,1,1,15,67,12636373
static,16,1,2,0,68,12644473
static,16,1,2,1,68,12726505
static,16,1,2,2,68,12754194
static,16,1,2,3,68,12803139
static,16,1,2,4,68,12807980
static,16,1,2,5,68,12803139
static,16,1,2,6,68,12754194
static,16,1,2,7,68,12726505
static,16,1,2,8,67,12642552
static,16,1,2,9,67,12636373
static,16,1,2,10,67,12602908
static,16,1,2,11,67,12581696
static,16,1,2,12,67,12812244
static,16,1,2,13,67,12581696
static,16,1,2,14,67,12602908
static,16,1,2,15,67,12636373
static,16,1,3,0,68,12644473
static,16,1,3,1,68,12726505
static,16,1,3,2,68,12754194
static,16,1,3,3,68,12803139
static,16,1,3,4,68,12807980
static,16,1,3,5,68,12803139
static,16,1,3,6,68,12754194
static,16,1,3,7,68,12726505
static,16,1,3,8,67,12642552
static,16,1,3,9,67,12636373
static,16,1,3,10,67,12602908
static,16,1,3,11,67,12581696
static,16,1,3,12,67,12812244
static,16,1,3,13,67,12581696
static,16,1,3,14,67,12602908
static,16,1,3,15,67,12636373
static,16,16,1,0,80,12819614
static,16,16,1,1,80,13456212
static,16,16,1,2,80,12979295
static,16,16,1,3,72,12866554
static,16,16,1,4,64,13284016
static,16,16,1,5,64,12412338
static,16,16,1,6,64,10015444
static,16,16,1,7,64,12395518
static,16,16,1,8,64,13921412
static,16,16,1,9,64,13531700
static,16,16,1,10,64,13944957
static,16,16,1,11,64,13358849
static,16,16,1,12,64,11002500
static,16,16,1,13,64,11014669
static,16,16,1,14,64,12879739
static,16,16,1,15,64,13234062
static,16,16,2,0,80,12819614
static,16,16,2,1,80,13456212
static,16,16,2,2,80,12979295
static,16,16,2,3,72,12866554
static,16,16,2,4,64,13284016
static,16,16,2,5,64,12412338
static,16,16,2,6,64,10015444
static,16,16,2,7,64,12395518
static,16,16,2,8,64,13921412
static,16,16,2,9,64,13531700
static,16,16,2,10,64,13944957
static,16,16,2,11,64,13358849
static,16,16,2,12,64,11002500
static,16,16,2,13,64,11014669
static,16,16,2,14,64,12879739
static,16,16,2,15,64,13234062
static,16,16,3,0,80,12819614
static,16,16,3,1,80,13456212
static,16,16,3,2,80,12979295
static,16,16,3,3,72,12866554
static,16,16,3,4,64,13284016
static,16,16,3,5,64,12412338
static,16,16,3,6,64,10015444
static,16,16,3,7,64,12395518
static,16,16,3,8,64,13921412
static,16,16,3,9,64,13531700
static,16,16,3,10,64,13944957
static,16,16,3,11,64,13358849
static,16,16,3,12,64,11002500
static,16,16,3,13,64,11014669
static,16,16,3,14,64,12879739
static,16,16,3,15,64,13234062
static,16,64,1,0,120,301624
static,16,64,1,1,64,192256
static,16,64,1,2,64,211727
static,16,64,1,3,64,281203
static,16,64,1,4,64,951092
static,16,64,1,5,64,8391451
static,16,64,1,6,64,27912016
static,16,64,1,7,64,40976429
static,16,64,1,8,64,50223812
static,16,64,1,9,64,39253301
static,16,64,1,10,64,26424775
static,16,64,1,11,64,6683496
static,16,64,1,12,64,645147
static,16,64,1,13,64,270308
static,16,64,1,14,64,208400
static,16,64,1,15,64,189842
static,16,64,2,0,120,301624
static,16,64,2,1,64,192256
static,16,64,2,2,64,211727
static,16,64,2,3,64,281203
static,16,64,2,4,64,951092
static,16,64,2,5,64,8391451
static,16,64,2,6,64,27912016
static,16,64,2,7,64,40976429
static,16,64,2,8,64,50223812
static,16,64,2,9,64,39253301
static,16,64,2,10,64,26424775
static,16,64,2,11,64,6683496
static,16,64,2,12,64,645147
static,16,64,2,13,64,270308
static,16,64,2,14,64,208400
static,16,64,2,15,64,189842
static,16,64,3,0,120,301624
static,16,64,3,1,64,192256
static,16,64,3,2,64,211727
static,16,64,3,3,64,281203
static,16,64,3,4,64,951092
static,16,64,3,5,64,8391451
static,16,64,3,6,64,27912016
static,16,64,3,7,64,40976429
static,16,64,3,8,64,50223812
static,16,64,3,9,64,39253301
static,16,64,3,10,64,26424775
static,16,64,3,11,64,6683496
static,16,64,3,12,64,645147
static,16,64,3,13,64,270308
static,16,64,3,14,64,208400
static,16,64,3,15,64,189842
static,16,256,1,0,256,846756
static,16,256,1,1,256,78230988
static,16,256,1,2,256,122585384
static,16,256,1,3,256,1313697
static,16,256,1,4,56,140054
