policy,threads,chunk,trial,width,height,max_iter,seconds,work_imbalance,row_imbalance
static,2,1,1,1920,1080,1000,0.222879599999942,0.0012409308435661814,0.0
static,2,1,2,1920,1080,1000,0.23245049999991352,0.0012409308435661814,0.0
static,2,1,3,1920,1080,1000,0.22721169999999802,0.0012409308435661814,0.0
static,2,16,1,1920,1080,1000,0.23307420000014645,0.014010898621576397,0.014814814814814815
static,2,16,2,1920,1080,1000,0.22092099999986203,0.014010898621576397,0.014814814814814815
static,2,16,3,1920,1080,1000,0.22030040000004192,0.014010898621576397,0.014814814814814815
static,2,64,1,1920,1080,1000,0.228320100000019,0.10477028844067657,0.1037037037037037
static,2,64,2,1920,1080,1000,0.2298740999999609,0.10477028844067657,0.1037037037037037
static,2,64,3,1920,1080,1000,0.22728400000005422,0.10477028844067657,0.1037037037037037
static,2,256,1,1920,1080,1000,0.2669682999999168,0.43351895929830625,0.1037037037037037
static,2,256,2,1920,1080,1000,0.2681993999999577,0.43351895929830625,0.1037037037037037
static,2,256,3,1920,1080,1000,0.2639849000001959,0.43351895929830625,0.1037037037037037
static,4,1,1,1920,1080,1000,0.11499309999999241,0.003801653529739397,0.0
static,4,1,2,1920,1080,1000,0.11447309999994104,0.003801653529739397,0.0
static,4,1,3,1920,1080,1000,0.11695420000000922,0.003801653529739397,0.0
static,4,16,1,1920,1080,1000,0.1162805000001299,0.04008624019867891,0.02962962962962963
static,4,16,2,1920,1080,1000,0.12002600000005259,0.04008624019867891,0.02962962962962963
static,4,16,3,1920,1080,1000,0.1178560999999263,0.04008624019867891,0.02962962962962963
static,4,64,1,1920,1080,1000,0.12316420000001926,0.13095124408641587,0.2074074074074074
static,4,64,2,1920,1080,1000,0.12231719999999768,0.13095124408641587,0.2074074074074074
static,4,64,3,1920,1080,1000,0.12197680000008404,0.13095124408641587,0.2074074074074074
static,4,256,1,1920,1080,1000,0.266720899999882,2.3946522730885405,0.2074074074074074
static,4,256,2,1920,1080,1000,0.2652735000001485,2.3946522730885405,0.2074074074074074
static,4,256,3,1920,1080,1000,0.2678097999998954,2.3946522730885405,0.2074074074074074
static,8,1,1,1920,1080,1000,0.07808929999987413,0.013123439140673286,0.0
static,8,1,2,1920,1080,1000,0.07591929999989588,0.013123439140673286,0.0
static,8,1,3,1920,1080,1000,0.07370100000002822,0.013123439140673286,0.0
static,8,16,1,1920,1080,1000,0.07743099999993319,0.16119700224421035,0.11851851851851852
static,8,16,2,1920,1080,1000,0.07051550000005591,0.16119700224421035,0.11851851851851852
static,8,16,3,1920,1080,1000,0.07462460000010651,0.16119700224421035,0.11851851851851852
static,8,64,1,1920,1080,1000,0.11538960000007137,1.9271346523594428,0.4148148148148148
static,8,64,2,1920,1080,1000,0.11534869999991315,1.9271346523594428,0.4148148148148148
static,8,64,3,1920,1080,1000,0.11580279999998311,1.9271346523594428,0.4148148148148148
static,8,256,1,1920,1080,1000,0.265907900000002,4.828171232386847,1.8962962962962964
static,8,256,2,1920,1080,1000,0.26706770000009783,4.828171232386847,1.8962962962962964
static,8,256,3,1920,1080,1000,0.26860439999995833,4.828171232386847,1.8962962962962964
static,16,1,1,1920,1080,1000,0.06604660000016338,0.018160814690343877,0.014814814814814815
static,16,1,2,1920,1080,1000,0.05923029999985374,0.018160814690343877,0.014814814814814815
static,16,1,3,1920,1080,1000,0.044962100000020655,0.018160814690343877,0.014814814814814815
static,16,16,1,1920,1080,1000,0.04391839999993863,0.30953709169586047,0.23703703703703705
static,16,16,2,1920,1080,1000,0.043429300000070725,0.30953709169586047,0.23703703703703705
static,16,16,3,1920,1080,1000,0.04493099999990591,0.30953709169586047,0.23703703703703705
static,16,64,1,1920,1080,1000,0.11705910000000586,3.9412949034137137,0.8296296296296296
static,16,64,2,1920,1080,1000,0.11753670000007332,3.9412949034137137,0.8296296296296296
static,16,64,3,1920,1080,1000,0.12350339999989046,3.9412949034137137,0.8296296296296296
static,16,256,1,1920,1080,1000,0.26997899999992114,9.656342464773694,3.7925925925925927
static,16,256,2,1920,1080,1000,0.26769880000006196,9.656342464773694,3.7925925925925927
static,16,256,3,1920,1080,1000,0.26600809999990815,9.656342464773694,3.7925925925925927
dynamic,2,1,1,1920,1080,1000,0.21902509999995345,0.0033474027532689687,0.0
dynamic,2,1,2,1920,1080,1000,0.21872740000003432,0.004331959039209144,0.0
dynamic,2,1,3,1920,1080,1000,0.21791099999995822,0.0010707825025216148,0.0
dynamic,2,16,1,1920,1080,1000,0.21785040000008848,0.007908087244684376,0.2222222222222222
dynamic,2,16,2,1920,1080,1000,0.2197683000001689,0.0040773863997782284,0.044444444444444446
dynamic,2,16,3,1920,1080,1000,0.2187467999999626,0.006233740919187715,0.13333333333333333
dynamic,2,64,1,1920,1080,1000,0.22834009999996852,0.08520320952745636,0.5777777777777777
dynamic,2,64,2,1920,1080,1000,0.22819920000006277,0.08520320952745636,0.5777777777777777
dynamic,2,64,3,1920,1080,1000,0.22898929999996653,0.08520320952745636,0.5777777777777777
dynamic,2,256,1,1920,1080,1000,0.26487059999999474,0.43076086256721186,0.1037037037037037
dynamic,2,256,2,1920,1080,1000,0.26326399999993555,0.43076086256721186,0.1037037037037037
dynamic,2,256,3,1920,1080,1000,0.2641869999999926,0.43076086256721186,0.1037037037037037
dynamic,4,1,1,1920,1080,1000,0.12598439999987932,0.2134509559887438,0.5962962962962963
dynamic,4,1,2,1920,1080,1000,0.11468110000009801,0.003953310054552384,0.06666666666666667
dynamic,4,1,3,1920,1080,1000,0.11554509999996299,0.011010822985321668,0.025925925925925925
dynamic,4,16,1,1920,1080,1000,0.11404050000010102,0.008670613730727913,0.4148148148148148
dynamic,4,16,2,1920,1080,1000,0.11749719999988884,0.005104863786332597,0.32592592592592595
dynamic,4,16,3,1920,1080,1000,0.1143838999998934,0.007280497845774797,0.4148148148148148
dynamic,4,64,1,1920,1080,1000,0.1229180999998789,0.11741501798085427,0.9185185185185185
dynamic,4,64,2,1920,1080,1000,0.12228110000000925,0.11741501798085427,0.9185185185185185
dynamic,4,64,3,1920,1080,1000,0.12246400000003632,0.12105818148180585,0.6814814814814815
dynamic,4,256,1,1920,1080,1000,0.26437110000006214,2.3946522730885405,0.2074074074074074
dynamic,4,256,2,1920,1080,1000,0.2635851999998522,2.3946522730885405,0.2074074074074074
dynamic,4,256,3,1920,1080,1000,0.2673021999999037,2.3946522730885405,0.2074074074074074
dynamic,8,1,1,1920,1080,1000,0.066689100000076,0.300032613242349,0.48148148148148145
dynamic,8,1,2,1920,1080,1000,0.06664970000019821,0.29467400392657667,0.22962962962962963
dynamic,8,1,3,1920,1080,1000,0.06658130000005258,0.2814640727125391,0.14814814814814814
dynamic,8,16,1,1920,1080,1000,0.06791690000000017,0.30998148607826925,1.4814814814814814
dynamic,8,16,2,1920,1080,1000,0.07248460000005252,0.20783962518447321,1.7185185185185186
dynamic,8,16,3,1920,1080,1000,0.06894760000000133,0.27229012316598267,1.5407407407407407
dynamic,8,64,1,1920,1080,1000,0.121826800000008,1.8897706280727167,2.311111111111111
dynamic,8,64,2,1920,1080,1000,0.12235579999992297,1.8917461212073863,2.311111111111111
dynamic,8,64,3,1920,1080,1000,0.1183027999998103,1.8834070013452697,2.311111111111111
dynamic,8,256,1,1920,1080,1000,0.2727583000000777,4.828171232386847,1.8962962962962964
dynamic,8,256,2,1920,1080,1000,0.27893840000001546,4.828171232386847,1.8962962962962964
dynamic,8,256,3,1920,1080,1000,0.28838599999994585,4.828171232386847,1.8962962962962964
dynamic,16,1,1,1920,1080,1000,0.04735579999987749,0.4458095282174949,0.562962962962963
