variant,threads,trials,mean_seconds,sample_stddev_seconds
unpadded,1,3,0.16272969999992407,0.002259840089360572
padded,1,3,0.16164739999999256,0.0012729152879223233
local,1,3,0.00036873333344071096,0.00015512028662841232
unpadded,2,3,0.1662236333332506,0.0023925766661184304
padded,2,3,0.1609870666666211,0.0030835304804074826
local,2,3,0.0005445666666522205,5.359154151720144e-05
unpadded,4,3,0.18525400000006206,0.009404531625238868
padded,4,3,0.16577983333331758,0.0025487642306411627
local,4,3,0.0009647666665841825,0.00015587675695322796
unpadded,8,3,0.2987281666666301,0.008917522150338638
padded,8,3,0.16555796666655928,0.0040206419404739705
local,8,3,0.0018055999999736134,0.0003940295293596219
unpadded,16,3,0.43929883333324443,0.020583975245434736
padded,16,3,0.17072273333330182,0.009949650394068673
local,16,3,0.003343433333308591,0.00020342891483206082
