variant,threads,trial,iterations_per_thread,stride_bytes,base_mod_64,seconds
unpadded,1,1,100000000,8,0,0.16135880000001634
padded,1,1,100000000,64,0,0.16050109999991946
local,1,1,100000000,64,0,0.00035210000010010845
local,1,2,100000000,64,0,0.00022260000014284742
padded,1,2,100000000,64,0,0.16142379999996592
unpadded,1,2,100000000,8,0,0.16533799999979237
unpadded,1,3,100000000,8,0,0.1614922999999635
padded,1,3,100000000,64,0,0.1630173000000923
local,1,3,100000000,64,0,0.000531500000079177
unpadded,2,1,100000000,8,0,0.16851219999989553
padded,2,1,100000000,64,0,0.16454690000000483
local,2,1,100000000,64,0,0.0005814999999529391
local,2,2,100000000,64,0,0.00048310000011042575
padded,2,2,100000000,64,0,0.15926919999992606
unpadded,2,2,100000000,8,0,0.16373909999992975
unpadded,2,3,100000000,8,0,0.1664195999999265
padded,2,3,100000000,64,0,0.15914509999993243
local,2,3,100000000,64,0,0.0005690999998932966
unpadded,4,1,100000000,8,0,0.18102720000001682
padded,4,1,100000000,64,0,0.16743320000000494
local,4,1,100000000,64,0,0.0010359999998854619
local,4,2,100000000,64,0,0.0007859999998345302
padded,4,2,100000000,64,0,0.16284459999997125
unpadded,4,2,100000000,8,0,0.1787045000000944
unpadded,4,3,100000000,8,0,0.19603030000007493
padded,4,3,100000000,64,0,0.16706169999997655
local,4,3,100000000,64,0,0.0010723000000325555
unpadded,8,1,100000000,8,0,0.2886676000000534
padded,8,1,100000000,64,0,0.16823649999992085
local,8,1,100000000,64,0,0.0015398000000459433
local,8,2,100000000,64,0,0.002258299999994051
padded,8,2,100000000,64,0,0.16750269999988632
unpadded,8,2,100000000,8,0,0.30185819999996966
unpadded,8,3,100000000,8,0,0.30565869999986717
padded,8,3,100000000,64,0,0.16093469999987065
local,8,3,100000000,64,0,0.001618699999880846
unpadded,16,1,100000000,8,0,0.43691629999989345
padded,16,1,100000000,64,0,0.16448749999995016
local,16,1,100000000,64,0,0.003373100000089835
local,16,2,100000000,64,0,0.003126799999790819
padded,16,2,100000000,64,0,0.1821972000000187
unpadded,16,2,100000000,8,0,0.46097039999995104
unpadded,16,3,100000000,8,0,0.42000979999988886
padded,16,3,100000000,64,0,0.1654834999999366
local,16,3,100000000,64,0,0.0035304000000451197
