variant,cutoff,trials,mean_seconds,sample_stddev_seconds
sequential,1,1,1.2536457999999584,
parallel,1,1,187.84651529999996,
sequential,10,1,0.7325043999999252,
parallel,10,1,21.68421330000001,
sequential,100,1,0.5803161999999702,
parallel,100,1,3.034245800000008,
sequential,1000,1,0.5203882999999223,
parallel,1000,1,0.5767213999999967,
sequential,10000,1,0.45729419999997845,
parallel,10000,1,0.1992772999999488,
sequential,50000,1,0.43084859999999026,
parallel,50000,1,0.1588636999999835,
sequential,100000,1,0.43642109999996137,
parallel,100000,1,0.14169689999994262,
