variant,n,cutoff,threads,trial,seconds,tasks,model_work,model_span,model_parallelism
sequential,5000000,1,1,1,1.2536457999999584,0,116611392.0,10000009.0,11.661128704984165
parallel,5000000,1,8,1,187.84651529999996,9999999,116611392.0,10000009.0,11.661128704984165
sequential,5000000,10,1,1,0.7325043999999252,0,111277373.8724134,10000021.219280949,11.127713775032849
parallel,5000000,10,8,1,21.68421330000001,1048575,111277373.8724134,10000021.219280949,11.127713775032849
sequential,5000000,100,1,1,0.5803161999999702,0,111267611.69039255,10000334.542563634,11.126388943971126
parallel,5000000,100,8,1,3.034245800000008,131071,111267611.69039255,10000334.542563634,11.126388943971126
sequential,5000000,1000,1,1,0.5203882999999223,0,111267485.52781582,10004436.822456159,11.121814001370131
parallel,5000000,1000,8,1,0.5767213999999967,16383,111267485.52781582,10004436.822456159,11.121814001370131
sequential,5000000,10000,1,1,0.45729419999997845,0,111267483.32992168,10109904.189443719,11.005790089099152
parallel,5000000,10000,8,1,0.1992772999999488,1023,111267483.32992168,10109904.189443719,11.005790089099152
sequential,5000000,50000,1,1,0.43084859999999026,0,111267483.32164861,10517723.061546233,10.579046688199352
parallel,5000000,50000,8,1,0.1588636999999835,255,111267483.32164861,10517723.061546233,10.579046688199352
sequential,5000000,100000,1,1,0.43642109999996137,0,111267483.32105768,11113554.426891526,10.011871904079864
parallel,5000000,100000,8,1,0.14169689999994262,127,111267483.32105768,11113554.426891526,10.011871904079864
