capacity,passes,time_seconds,queue1,queue2
1,1,0.007637200000090161,1,0
1,1,0.022898499999882915,1,0
1,1,0.038804900000059206,1,0
1,1,0.05361489999995683,1,0
1,4,0.013276700000005803,1,0
1,4,0.028799700000035955,1,0
1,4,0.04381790000002184,1,0
1,4,0.05872670000007929,1,0
1,4,0.07377960000007988,1,0
1,4,0.0892641000000367,1,0
1,4,0.10483720000001995,1,0
1,4,0.11987750000002961,1,0
1,16,0.002987399999938134,1,0
1,16,0.018502699999999095,1,0
1,16,0.03444160000003649,1,0
1,16,0.04996779999987666,1,0
1,16,0.06502679999994143,1,0
1,16,0.08056199999987257,1,0
1,16,0.09657659999993484,1,0
1,16,0.11171119999994517,1,0
1,16,0.12710440000000744,1,0
1,16,0.14214709999987463,1,0
1,16,0.1576155000000199,1,0
1,16,0.1726814999999533,1,0
1,16,0.18769410000004427,1,0
1,16,0.2033094999999321,1,0
1,16,0.21874179999986154,1,0
1,16,0.2342487999999321,1,0
1,16,0.24898979999989024,1,0
1,16,0.263910899999928,1,0
1,16,0.279586499999823,1,0
1,16,0.2945735999999215,1,0
1,16,0.31054949999997916,1,0
1,16,0.3260780999999042,1,0
1,16,0.34109269999999015,1,0
1,16,0.35618890000000647,1,0
1,16,0.3708447999999862,1,0
1,16,0.3860895000000255,1,0
1,16,0.40104219999989255,1,0
1,16,0.4158915000000434,1,0
1,16,0.4308700999999928,1,0
1,16,0.44621589999997013,1,0
1,16,0.461778699999968,1,0
1,16,0.4770742999999129,1,0
4,1,0.0024731000000883796,2,0
4,1,0.01806629999987308,4,0
4,1,0.03336719999992965,4,0
4,1,0.04899999999997817,4,0
4,4,0.014007099999844286,4,0
4,4,0.02944119999983741,4,0
4,4,0.04556490000004487,4,0
4,4,0.06185519999985445,4,0
4,4,0.07767749999993612,4,0
4,4,0.09265749999985928,4,0
4,4,0.10786400000006324,4,0
4,4,0.12294599999995626,4,0
4,4,0.13868189999993774,1,0
4,16,0.005558600000085789,4,0
4,16,0.020960900000090987,4,0
4,16,0.035949700000173834,4,0
4,16,0.05146009999998569,4,0
4,16,0.06765700000005381,4,0
4,16,0.082996600000115,4,0
4,16,0.09803740000006655,4,0
4,16,0.11355100000014318,4,0
4,16,0.12938559999997779,4,0
4,16,0.14547240000001693,4,0
4,16,0.16097540000009758,4,0
4,16,0.17595860000005814,4,0
4,16,0.19147970000017267,4,0
4,16,0.20759459999999308,4,0
4,16,0.22308650000013586,4,0
4,16,0.23814310000011574,4,0
4,16,0.2535679000000073,4,0
4,16,0.2686399000001529,4,0
4,16,0.2835575000001427,4,0
4,16,0.2991364000001795,4,0
4,16,0.3146636999999828,4,0
4,16,0.3297896999999921,4,0
4,16,0.34580110000001696,4,0
4,16,0.361253200000192,4,0
4,16,0.37723909999999705,4,0
4,16,0.3927005000000463,4,0
4,16,0.4077715000000808,3,0
4,16,0.42328370000018367,1,0
16,1,0.009191000000100757,11,0
16,1,0.0250431000001754,16,0
16,1,0.04069760000015776,16,0
16,1,0.05538010000009308,6,0
16,4,0.014631099999860453,16,0
16,4,0.030162899999822912,16,0
16,4,0.04571160000000418,16,0
16,4,0.06121729999995296,16,0
16,4,0.07725940000000264,16,0
16,4,0.09279619999983879,16,0
16,4,0.10773649999987356,15,0
16,4,0.12378669999998237,10,0
16,4,0.13941059999979188,4,0
16,16,0.013206000000081985,16,0
16,16,0.028581999999914842,16,0
16,16,0.043707199999971635,16,0
16,16,0.0585587000000487,15,0
16,16,0.0735964000000422,16,0
16,16,0.08834129999991092,16,0
16,16,0.10344839999993383,16,0
16,16,0.11923660000002201,16,0
16,16,0.13456769999993412,16,0
16,16,0.14922039999987646,16,0
16,16,0.16543339999998352,15,0
16,16,0.18073729999991883,16,0
16,16,0.19677610000007917,16,0
16,16,0.21229249999987587,16,0
16,16,0.2272946000000502,16,0
16,16,0.24233209999988503,16,0
16,16,0.2578123000000687,16,0
16,16,0.27378829999997834,16,0
16,16,0.2893724000000475,16,0
16,16,0.3043814000000111,16,0
16,16,0.31989290000001347,16,0
16,16,0.3359259999999722,16,0
16,16,0.35227259999987837,16,0
16,16,0.3677875999999287,16,0
16,16,0.3837720999999874,16,0
16,16,0.39933750000000146,14,0
16,16,0.41426769999998214,13,0
16,16,0.4297527999999602,12,0
16,16,0.4452903999999762,10,0
16,16,0.46084369999994124,9,0
16,16,0.4768879000000652,7,0
16,16,0.4924157999998897,6,0
16,16,0.5074592000000848,5,0
16,16,0.5224504999998771,3,0
16,16,0.5378115000000889,2,0
16,16,0.5532544000000144,0,0
